"","Date","location","key","value","month"
"354",2018-11-11,"Mushima (New port)","RP",20.040793197259,11
"355",2018-11-12,"Mushima (Old port)","RP",9.49628819582338,11
"356",2018-11-12,"Mushima (New port)","RP",24.6843971139463,11
"357",2018-11-13,"Mushima (Old port)","RP",5.34954470147523,11
"358",2018-11-13,"Mushima (New port)","RP",18.687656208935,11
"359",2018-11-14,"Mushima (Old port)","RP",10.8983341359054,11
"360",2018-11-14,"Mushima (New port)","RP",19.7586224240414,11
"361",2018-11-15,"Mushima (Old port)","RP",2.0588037792383,11
"362",2018-11-15,"Mushima (New port)","RP",18.7295396518103,11
"363",2018-11-16,"Mushima (Old port)","RP",6.41027681283251,11
"364",2018-11-16,"Mushima (New port)","RP",13.6201483657274,11
"365",2018-11-17,"Mushima (Old port)","RP",20.9961786875339,11
"366",2018-11-17,"Mushima (New port)","RP",14.2157521385859,11
"367",2018-11-18,"Mushima (Old port)","RP",18.1773791236001,11
"368",2018-11-18,"Mushima (New port)","RP",37.4055339919967,11
"369",2018-11-19,"Mushima (Old port)","RP",12.4336105815384,11
"370",2018-11-19,"Mushima (New port)","RP",0.359333375809712,11
"371",2018-11-22,"Mushima (Old port)","RP",6.08087868333211,11
"372",2018-11-22,"Mushima (New port)","RP",19.7980006210465,11
"373",2018-11-23,"Mushima (Old port)","RP",7.10554272418197,11
"374",2018-11-23,"Mushima (New port)","RP",21.4961820083504,11
"375",2018-11-24,"Mushima (Old port)","RP",2.17343000027419,11
"376",2018-11-24,"Mushima (New port)","RP",19.2457980339071,11
"377",2018-11-25,"Mushima (New port)","RP",14.3894473529575,11
"378",2018-11-26,"Mushima (Old port)","RP",3.15225367399208,11
"379",2018-11-26,"Mushima (New port)","RP",12.8817471555801,11
"380",2018-11-27,"Mushima (Old port)","RP",2.85462408765866,11
"381",2018-11-27,"Mushima (New port)","RP",12.3998891935286,11
"382",2018-11-28,"Mushima (Old port)","RP",14.0534589686906,11
"383",2018-11-28,"Mushima (New port)","RP",17.6488545956463,11
"384",2018-11-29,"Mushima (Old port)","RP",28.741993579028,11
"385",2018-11-29,"Mushima (New port)","RP",9.28862585456074,11
"386",2018-11-30,"Mushima (New port)","RP",17.5997211134335,11
"387",2018-12-01,"Mushima (Old port)","RP",15.5978243213642,12
"388",2018-12-01,"Mushima (New port)","RP",18.0324884499779,12
"389",2018-12-02,"Mushima (New port)","RP",12.0310767438841,12
"390",2018-12-03,"Mushima (Old port)","RP",46.401626135125,12
"391",2018-12-03,"Mushima (New port)","RP",17.1934905645246,12
"392",2018-12-04,"Mushima (Old port)","RP",17.5007234153921,12
"393",2018-12-04,"Mushima (New port)","RP",4.32053337871865,12
"394",2018-12-05,"Mushima (Old port)","RP",6.39482761262716,12
"395",2018-12-05,"Mushima (New port)","RP",13.760807544368,12
"396",2018-12-06,"Mushima (Old port)","RP",6.31569797400614,12
"397",2018-12-06,"Mushima (New port)","RP",17.7410844015861,12
"398",2018-12-07,"Mushima (Old port)","RP",3.30573009839189,12
"399",2018-12-07,"Mushima (New port)","RP",6.40274784976959,12
"400",2018-12-08,"Mushima (New port)","RP",7.59419052526212,12
"401",2018-12-09,"Mushima (Old port)","RP",3.87010457319548,12
"402",2018-12-09,"Mushima (New port)","RP",17.0184208918458,12
"403",2018-12-10,"Mushima (Old port)","RP",4.9426505071687,12
"404",2018-12-10,"Mushima (New port)","RP",12.152515741914,12
"405",2018-12-11,"Mushima (Old port)","RP",5.06964412897581,12
"406",2018-12-11,"Mushima (New port)","RP",13.1278937974067,12
"407",2018-12-12,"Mushima (Old port)","RP",16.4503150496934,12
"408",2018-12-12,"Mushima (New port)","RP",14.683655823497,12
"409",2018-12-13,"Mushima (Old port)","RP",6.10529384239082,12
"410",2018-12-14,"Mushima (Old port)","RP",12.9675368168732,12
"411",2018-12-14,"Mushima (New port)","RP",11.6725590671251,12
"412",2018-12-15,"Mushima (Old port)","RP",15.599495063787,12
"413",2018-12-15,"Mushima (New port)","RP",10.310902106912,12
"414",2018-12-16,"Mushima (Old port)","RP",5.02384313699258,12
"415",2018-12-16,"Mushima (New port)","RP",22.3105995320291,12
"416",2018-12-17,"Mushima (Old port)","RP",9.14116062904889,12
